id,key,version,is_active,content
a0000000-0000-4000-8000-000000000001,hero,1,true,"{""eyebrow"":""DTCP Approved · Near Sulur, Coimbatore"",""title"":[""Own Your"",""Signature Address""],""subtitle"":""A gated community of 232 premium residential plots on 12 acres near Sulur, Coimbatore — designed for quiet luxury, long-term value, and a life well lived."",""primaryCta"":{""label"":""Explore Projects"",""to"":""/projects""},""secondaryCta"":{""label"":""Book a Site Visit"",""to"":""/contact""},""trust"":[""DTCP Approved"",""100% Clear Title"",""Bank Loan Assistance""]}"
a0000000-0000-4000-8000-000000000002,hero_card,1,true,"{""title"":""Phase One — Now Selling"",""details"":[""Plot sizes 600 – 2035 sq. ft."",""Gated community · 24×7 security""],""footnote"":""DTCP Approved · RERA Compliant""}"
a0000000-0000-4000-8000-000000000003,trust_bar,1,true,"[{""icon"":""shield-check"",""title"":""DTCP Approved"",""description"":""Fully approved layout""},{""icon"":""file-check"",""title"":""Clear Title"",""description"":""Verified, clean documents""},{""icon"":""land-plot"",""title"":""Bank Loans"",""description"":""Assistance available""},{""icon"":""building"",""title"":""RERA Compliant"",""description"":""Registered project""}]"
a0000000-0000-4000-8000-000000000004,stats,1,true,"[{""value"":12,""suffix"":""Acres"",""label"":""Premium Land Holding""},{""value"":232,""suffix"":"""",""label"":""Residential Plots""},{""value"":100,""suffix"":""%"",""label"":""Clear Title Guarantee""},{""value"":24,""suffix"":""×7"",""label"":""Gated Security""}]"
a0000000-0000-4000-8000-000000000005,location,1,true,"{""eyebrow"":""Prime Location"",""title"":""Minutes from Everything That Matters"",""copy"":""Perfectly positioned near Sulur on Coimbatore's fastest-growing corridor, Signature City keeps everyday essentials close and the airport even closer."",""points"":[{""icon"":""route"",""title"":""Bus Stops"",""detail"":""2 min drive""},{""icon"":""building"",""title"":""Schools"",""detail"":""2 – 5 min drive""},{""icon"":""home"",""title"":""Hospitals"",""detail"":""2 – 11 min drive""},{""icon"":""gem"",""title"":""Colleges"",""detail"":""4 – 11 min drive""},{""icon"":""zap"",""title"":""Railway Stations"",""detail"":""8 – 16 min drive""},{""icon"":""map-pin"",""title"":""Coimbatore Airport"",""detail"":""20 min drive""},{""icon"":""land-plot"",""title"":""City Centre"",""detail"":""20 – 22 min drive""}]}"
a0000000-0000-4000-8000-000000000006,premium_plots,1,true,"{""eyebrow"":""Premium Blocks"",""title"":""Reserved for the Discerning"",""copy"":""A limited set of corner and garden-facing plots with wider avenues — designed for those who prefer the finer details."",""features"":[{""icon"":""corner"",""title"":""Corner Plots"",""description"":""Double road access, more privacy""},{""icon"":""trees"",""title"":""Garden-Facing"",""description"":""Facing the landscaped greens""},{""icon"":""route"",""title"":""Wider Avenues"",""description"":""Spacious internal roads""}]}"
a0000000-0000-4000-8000-000000000007,investment,1,true,"{""eyebrow"":""Investment"",""title"":""Built for Long-Term Value"",""copy"":""Prime land near Sulur, clear title, and proven demand — the fundamentals of a sound investment in Coimbatore's appreciating growth corridor."",""points"":[{""title"":""Steady Appreciation"",""description"":""Land in growth corridors historically outpaces finished homes.""},{""title"":""Complete Legal Clarity"",""description"":""DTCP approved layout with 100% clear title on every plot.""},{""title"":""Infrastructure in Motion"",""description"":""Airport, ring roads, schools, and hospitals are expanding your way.""},{""title"":""Growing Demand"",""description"":""Families and investors are moving toward spacious, secure communities.""}]}"
a0000000-0000-4000-8000-000000000008,investment_growth_ref,1,true,"{""series"":""site-wide"",""series_id"":""80000000-0000-4000-8000-000000000001""}"
a0000000-0000-4000-8000-000000000009,why_choose,1,true,"{""eyebrow"":""Why Signature City"",""title"":""Land Planned With a Rare Kind of Care"",""copy"":""For over two decades, our group has planned land with the same discipline architects bring to buildings — so every plot you buy feels considered, secure and quietly luxurious."",""steps"":[{""icon"":""shield"",""title"":""Approved From Day One"",""description"":""Every layout is DTCP approved before a single plot is released.""},{""icon"":""file-check"",""title"":""Clear Title, Verified"",""description"":""All documents are checked, registered and handed over with every plot.""},{""icon"":""route"",""title"":""Planning Ahead of the City"",""description"":""Wide avenues, parks and utilities sized for the neighbourhood of tomorrow.""},{""icon"":""users"",""title"":""With You Past the Sale"",""description"":""From registration to construction norms, our team stays by your side.""}],""trust"":[{""value"":""20+"",""label"":""Years of Craft""},{""value"":""30+"",""label"":""Layouts Delivered""},{""value"":""232"",""label"":""Plot Owners""}]}"
a0000000-0000-4000-8000-000000000010,about,1,true,"{""eyebrow"":""About Signature City"",""title"":""A Promise of Space, Trust & Craft"",""paragraphs"":[""Signature City is a 12-acre, DTCP approved gated layout of 232 premium residential plots near Sulur, Coimbatore — minutes from the airport, schools, hospitals and colleges, yet quietly positioned away from the city's noise."",""Every plot we release carries the same promise: DTCP approved layout, clean titles, honest pricing, and a community that is designed around the way families actually live."",""From the first survey to the final handing over, our team stays with you — because land is not just an asset. It is where stories are built.""],""values"":[{""icon"":""shield"",""title"":""Integrity"",""description"":""Clear titles and honest dealings, always.""},{""icon"":""gem"",""title"":""Craft"",""description"":""Land planned with architectural care.""},{""icon"":""home"",""title"":""Community"",""description"":""Neighbourhoods built around living.""}]}"
