id,project_id,size,dimensions,facing,price_inr,status,display_order,is_active
30000000-0000-4000-8000-000000000001,10000000-0000-4000-8000-000000000001,20×30,600 sq. ft.,East,960000,available,0,true
30000000-0000-4000-8000-000000000002,10000000-0000-4000-8000-000000000001,24×40,960 sq. ft.,North,1536000,available,1,true
30000000-0000-4000-8000-000000000003,10000000-0000-4000-8000-000000000001,30×40,1200 sq. ft.,Garden-facing,1920000,reserved,2,true
30000000-0000-4000-8000-000000000004,10000000-0000-4000-8000-000000000001,30×40,1200 sq. ft.,West,1920000,available,3,true
30000000-0000-4000-8000-000000000005,10000000-0000-4000-8000-000000000001,30×50,1500 sq. ft.,Corner,2400000,available,4,true
30000000-0000-4000-8000-000000000006,10000000-0000-4000-8000-000000000002,30×40,1200 sq. ft.,Garden-facing,2200000,available,0,true
30000000-0000-4000-8000-000000000007,10000000-0000-4000-8000-000000000002,30×40,1200 sq. ft.,East,2100000,reserved,1,true
30000000-0000-4000-8000-000000000008,10000000-0000-4000-8000-000000000002,30×50,1500 sq. ft.,Corner,2700000,available,2,true
30000000-0000-4000-8000-000000000009,10000000-0000-4000-8000-000000000002,30×50,1500 sq. ft.,Garden-facing,2800000,sold,3,true
30000000-0000-4000-8000-000000000010,10000000-0000-4000-8000-000000000003,20×30,600 sq. ft.,East,960000,available,0,true
30000000-0000-4000-8000-000000000011,10000000-0000-4000-8000-000000000003,24×40,960 sq. ft.,North,1536000,available,1,true
30000000-0000-4000-8000-000000000012,10000000-0000-4000-8000-000000000003,20×30,600 sq. ft.,Garden-facing,1020000,reserved,2,true
30000000-0000-4000-8000-000000000013,10000000-0000-4000-8000-000000000004,24×40,960 sq. ft.,Green-facing,1650000,available,0,true
30000000-0000-4000-8000-000000000014,10000000-0000-4000-8000-000000000004,30×40,1200 sq. ft.,East,2050000,available,1,true
30000000-0000-4000-8000-000000000015,10000000-0000-4000-8000-000000000004,30×40,1200 sq. ft.,Green-facing,2150000,reserved,2,true
30000000-0000-4000-8000-000000000016,10000000-0000-4000-8000-000000000004,24×40,960 sq. ft.,North,1600000,sold,3,true
30000000-0000-4000-8000-000000000017,10000000-0000-4000-8000-000000000005,20×30,600 sq. ft.,East,1250000,sold,0,true
30000000-0000-4000-8000-000000000018,10000000-0000-4000-8000-000000000005,20×30,600 sq. ft.,West,1250000,sold,1,true
30000000-0000-4000-8000-000000000019,10000000-0000-4000-8000-000000000006,35×50,1750 sq. ft.,East,2800000,available,0,true
30000000-0000-4000-8000-000000000020,10000000-0000-4000-8000-000000000006,40×50,2000 sq. ft.,North,3200000,available,1,true
30000000-0000-4000-8000-000000000021,10000000-0000-4000-8000-000000000006,40×50,2000 sq. ft.,Corner,3400000,reserved,2,true
